set	ticker	trade_date	cap_gap	split_gap	raw_gap	artifact	art_reason	n_min_bars	prev_close	prev_volume	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	sess_abst_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936	sess_abst_0936
gap_floor_6_7	CDNL	2026-06-01	6.03	6.03	6.03	False		225	51.89	386880.0	abstain	entry_window_gaps:9_of_29	False		51.555					False	0	abstain	entry_window_gaps:8_of_24	False		51.555					False	0
MIN_PREV_DAY_VOLUME	CNXU	2026-06-01	15.14	15.14	15.14	False		194	11.725	29026.0	settled		True	13.75	13.25	14.25	-1.0		stop_hit	False	0	settled		True	13.75	13.25	14.25	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	CRE	2026-06-01	36.74	36.74	36.74	False		339	2.64	2147962.0	no_trade	setup:stop_too_wide: 0.35 > 1.5x ATR 0.22	False							False	0	no_trade	setup:stop_too_wide: 0.35 > 1.5x ATR 0.22	False							False	0
gap_floor_9to10_admitted_now	CXAI	2026-06-01	9.88	9.83	9.88	False		390	10.375	834274.0	settled		True	0.2321	0.20809999999999998	0.2561	-1.0		stop_hit	False	0	settled		True	0.2321	0.20809999999999998	0.2561	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	DEVS	2026-06-01	11.03	11.03	11.03	False		390	0.3	574473693.0	settled		True	0.3522	0.314	0.3904	-1.0		stop_hit	False	0	settled		True	0.37	0.314	0.4438	-1.0		stop_hit	False	0
gap_floor_8_9	DFNS	2026-06-01	8.23	8.21	8.22	False		376	55.6375	140353.0	no_entry	never_crossed_orb_high	False		0.43500000000000005					False	0	no_entry	never_crossed_orb_high	False		0.43500000000000005					False	0
MIN_PREV_CLOSE	FBGL	2026-06-01	13.37	13.37	13.37	False		54	0.5795	88197.0	abstain	entry_window_gaps:22_of_29	False		0.6024					False	0	abstain	entry_window_gaps:19_of_24	False		0.6024					False	0
unclassified_security_type	FBRKF	2026-06-01	9.37			True	no_daily	0	0.16	16800.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
gap_floor_9to10_admitted_now	FFAI	2026-06-01	9.96	9.96	9.96	False		390	54.54	226724.0	settled		True	0.4	0.38	0.42000000000000004	0.33333333333333337		stop_hit	True	0	settled		True	0.41	0.38	0.4499999999999999	0.44444444444444403		stop_hit	True	0
MIN_PREV_CLOSE	GAUZ	2026-06-01	12.79	12.79	12.79	False		28	0.699	100688.0	abstain	entry_window_gaps:23_of_29	False		0.7202000000000001					False	0	abstain	entry_window_gaps:19_of_24	False		0.7202000000000001					False	0
MIN_PREV_CLOSE	GFAI	2026-06-01	29.25	29.25	29.25	False		381	0.53	4123507.0	no_entry	never_crossed_orb_high	False		0.6472000000000001					False	0	no_entry	never_crossed_orb_high	False		0.6472000000000001					False	0
unclassified_security_type	GLTK	2026-06-01	9.38			True	no_daily	0	4.8	2473.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
MIN_PREV_CLOSE	GNTA	2026-06-01	78.16	78.16	78.16	False		389	1.03	808838.0	settled		True	1.87	1.5552	2.1898000000000004	0.33862770012706495		stop_hit	True	0	settled		True	1.89	1.5552	2.2497999999999996	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	GOVX	2026-06-01	11.65	11.65	11.65	False		308	2.06	1102580.0	settled		True	2.3	2.1914	2.4086	-1.0		stop_hit	False	0	settled		True	2.32	2.1914	2.4686	-1.0		stop_hit	False	0
gap_floor_9to10_admitted_now	GRDX	2026-06-01	9.45	9.45	9.45	False		125	5.61	235718.0	abstain	entry_window_gaps:16_of_29	False		6.000000000000001					False	0	abstain	entry_window_gaps:15_of_24	False		6.000000000000001					False	0
gap_floor_6_7	HCWB	2026-06-01	6.57	6.57	6.57	False		329	11.88	423476.0	settled		True	2.12	1.88	2.3600000000000003	-1.0		stop_hit	False	0	settled		True	2.12	1.88	2.3600000000000003	-1.0		stop_hit	False	0
silent_no_row	HCWC	2026-06-01	23.91	23.95	23.91	False		389	11.6515	1329611.0	no_trade	setup:stop_too_wide: 0.05 > 1.5x ATR 0.02	False							False	0	no_trade	setup:stop_too_wide: 0.05 > 1.5x ATR 0.02	False							False	0
MIN_PREV_DAY_VOLUME	HKIT	2026-06-01	118.84	118.84	118.84	False		364	36.5	33505.0	settled		True	3.2	3.0599999999999996	3.3400000000000007	-6.952380952380925		stop_hit	True	0	settled		True	3.2	3.0599999999999996	3.3400000000000007	-6.952380952380925		stop_hit	True	0
MIN_PREV_CLOSE	HMR	2026-06-01	17.07	17.07	17.07	False		326	1.23	163787.0	settled		True	1.5099	1.3700999999999999	1.6497000000000002	0.33333333333333337		stop_hit	True	0	settled		True	1.53	1.3700999999999999	1.7100000000000002	-0.5628517823639775		stop_hit	False	0
silent_no_row	HUBC	2026-06-01	102.45	102.41	102.45	False		390	5.222	68435900.0	no_entry	never_crossed_orb_high	False		0.4878000000000001					False	0	no_entry	never_crossed_orb_high	False		0.4878000000000001					False	0
gap_floor_5_6	HUBS	2026-06-01	5.15	5.15	5.15	False		390	220.63	6805082.0	settled		True	232.0	227.0	237.0	0.3333333333333333		stop_hit	True	0	settled		True	232.635	227.0	238.90499999999997	0.3708961845607804		stop_hit	True	0
MIN_PREV_CLOSE	ICG	2026-06-01	10.83	10.83	10.83	False		96	0.83	234926.0	abstain	no_930_bar_for_orb	False							False	0	abstain	no_930_bar_for_orb	False							False	0
silent_no_row	IMCC	2026-06-01	12.57	12.57	12.57	False		202	8.64	224859.0	abstain	entry_window_gaps:6_of_29	False		0.31839999999999996					False	0	abstain	entry_window_gaps:5_of_24	False		0.31839999999999996					False	0
MIN_PREV_DAY_VOLUME	JZ	2026-06-01	32.98	32.97	32.98	False		182	21.84	764.0	settled		True	0.9788	0.8776	1.08	0.33333333333333376		stop_hit	True	0	settled		True	1.0	0.8776	1.1436	-1.296840958605665		stop_hit	True	0
MIN_PREV_CLOSE	LANV	2026-06-01	10.0	10.0	10.0	False		6	1.5	7274.0	no_trade	setup:zero_range	False							False	0	no_trade	setup:zero_range	False							False	0
MIN_PREV_CLOSE	MASK	2026-06-01	51.12	51.12	51.12	False		378	3.58	20477109.0	settled		True	5.7099	4.910099999999999	6.509700000000001	0.3333333333333333		stop_hit	True	0	settled		True	5.74	4.910099999999999	6.600000000000001	0.3454231433506045		stop_hit	True	0
MIN_PREV_DAY_VOLUME	MB	2026-06-01	12.82	12.82	12.82	False		18	7.1	9573.0	no_trade	setup:zero_range	False							False	0	no_trade	setup:zero_range	False							False	0
unclassified_security_type	MDRNF	2026-06-01	32.43			True	no_daily	0	0.111	1549.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
unclassified_security_type	MEXGF	2026-06-01	17.92			True	no_daily	0	0.13	598.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
gap_floor_8_9	MNDY	2026-06-01	8.28	8.28	8.28	False		386	83.62	5990333.0	settled		True	91.0	86.62	95.38	-0.009132420091324589		stop_hit	True	0	settled		True	91.0	86.62	95.38	-0.009132420091324589		stop_hit	True	0
gap_floor_6_7	MTH	2026-06-01	6.48	6.48	6.48	False		374	65.24	669847.0	settled		True	70.0	68.38	71.62	-1.0123456790123433		stop_hit	False	0	settled		True	70.0	68.38	71.62	-1.0123456790123433		stop_hit	False	0
MIN_PREV_CLOSE	NAMM	2026-06-01	47.37	47.37	47.37	False		389	1.52	544435.0	settled		True	2.24	2.0599999999999996	2.420000000000001	0.3333333333333333		stop_hit	True	0	settled		True	2.24	2.0599999999999996	2.420000000000001	0.3333333333333333		stop_hit	True	0
MIN_PREV_DAY_VOLUME	NCSM	2026-06-01	11.8	11.8	11.8	False		74	42.38	13857.0	settled		True	47.9	45.50000000000001	50.29999999999999	1.9861111111111178		sma_trail_stop	True	0	settled		True	48.14	45.50000000000001	51.019999999999996	1.8055555555555598		sma_trail_stop	True	0
unclassified_security_type	NIMU	2026-06-01	10.0			True	no_daily	0	7.5	23.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
MIN_PREV_DAY_VOLUME	NXTC	2026-06-01	12.26	12.26	12.26	False		262	6.2	11495.0	no_trade	setup:zero_range	False							False	0	no_trade	setup:zero_range	False							False	0
MIN_PREV_CLOSE	ONCY	2026-06-01	9.62	9.62	9.62	False		363	1.04	2856368.0	settled		True	1.18	1.0999999999999999	1.26	-1.0		stop_hit	False	0	settled		True	1.18	1.0999999999999999	1.26	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	OPTU	2026-06-01	80.8	80.8	80.8	False		390	0.6582	6011527.0	no_trade	setup:stop_too_wide: 0.20 > 1.5x ATR 0.10	False							False	0	no_trade	setup:stop_too_wide: 0.20 > 1.5x ATR 0.10	False							False	0
gap_floor_5_6	PMI	2026-06-01	5.56	5.56	5.56	False		375	7.375	332161.0	settled		True	0.157	0.1534	0.1606	0.3333333333333333		stop_hit	True	0	settled		True	0.1577	0.1534	0.1627	0.3875968992248067		stop_hit	True	0
MIN_PREV_CLOSE	POM	2026-06-01	15.16	15.14	15.16	False		117	1.8756	49205.0	no_trade	setup:zero_range	False							False	0	no_trade	setup:zero_range	False							False	0
MIN_PREV_CLOSE	PRZO	2026-06-01	11.03	11.03	11.03	False		382	0.9277	70263048.0	no_entry	never_crossed_orb_high	False		0.94					False	0	no_entry	never_crossed_orb_high	False		0.94					False	0
MIN_PREV_DAY_VOLUME	RLYB	2026-06-01	16.18	16.18	16.18	False		164	14.46	45935.0	abstain	entry_window_gaps:9_of_29	False		16.35					False	0	abstain	entry_window_gaps:9_of_24	False		16.35					False	0
gap_floor_6_7	SAP	2026-06-01	6.7	6.7	6.7	False		390	181.79	5025680.0	settled		True	193.97	192.85	195.09	-1.0		stop_hit	False	0	settled		True	193.97	192.85	195.09	-1.0		stop_hit	False	0
gap_floor_7_8	SEGG	2026-06-01	7.1	7.1	7.1	False		260	11.83	135890.0	settled		True	1.94	1.6800000000000002	2.1999999999999997	-1.0		stop_hit	False	0	abstain	entry_window_gaps:3_of_24	False		1.6800000000000002					False	0
unclassified_security_type	SMTOF	2026-06-01	11.4			True	no_daily	0	19.2825	1000.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
MIN_PREV_CLOSE	SOAR	2026-06-01	147.94	147.94	147.94	False		390	0.17	9279411.0	settled		True	0.4225	0.38250000000000006	0.4624999999999999	0.3333333333333333		stop_hit	True	0	settled		True	0.4368	0.38250000000000006	0.5054000000000001	-1.0		stop_hit	False	0
gap_floor_6_7	TEAM	2026-06-01	6.11	6.11	6.11	False		390	107.61	13824564.0	no_entry	never_crossed_orb_high	False		110.8					False	0	no_entry	never_crossed_orb_high	False		110.8					False	0
MIN_PREV_CLOSE	TGHL	2026-06-01	509.55	509.55	509.55	False		315	0.3478	33519.0	no_trade	setup:stop_too_wide: 0.25 > 1.5x ATR 0.03	False							False	0	no_trade	setup:stop_too_wide: 0.25 > 1.5x ATR 0.03	False							False	0
gap_floor_5_6	TOST	2026-06-01	5.51	5.51	5.51	False		390	26.03	14598618.0	settled		True	27.58	26.620000000000005	28.539999999999992	-1.0		stop_hit	False	0	settled		True	27.58	26.620000000000005	28.539999999999992	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	WALD	2026-06-01	12.2	12.2	12.2	False		384	1.23	215872.0	settled		True	1.38	1.2234000000000003	1.5365999999999995	1.7594721157939581		stop_hit	True	0	settled		True	1.38	1.2234000000000003	1.5365999999999995	1.7594721157939581		stop_hit	True	0
MIN_PREV_CLOSE	XTIA	2026-06-01	10.22	10.22	10.22	False		389	1.81	8322100.0	settled		True	1.995	1.9049999999999998	2.0850000000000004	0.3333333333333333		stop_hit	True	0	settled		True	2.005	1.9049999999999998	2.1149999999999998	0.3666666666666659		stop_hit	True	0
unclassified_security_type	ZAIRF	2026-06-01	30.77			True	no_daily	0	0.078	2049.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
gap_floor_5_6	AAOI	2026-06-02	5.11	5.11	5.11	False		390	185.67	15935657.0	settled		True	197.72	178.67999999999998	216.76000000000002	-1.2738970588235279		stop_hit	False	0	settled		True	198.71	178.67999999999998	219.73000000000005	-1.2603594608087851		stop_hit	False	0
MIN_PREV_CLOSE	ABTS	2026-06-02	49.53	49.53	49.53	False		389	2.14	99621564.0	no_entry	never_crossed_orb_high	False		2.9699999999999998					False	0	no_entry	never_crossed_orb_high	False		2.9699999999999998					False	0
gap_floor_6_7	AIRJ	2026-06-02	6.63	6.63	6.63	False		383	5.2	3905379.0	settled		True	5.57	5.09	6.050000000000001	-1.0		stop_hit	False	0	settled		True	5.57	5.09	6.050000000000001	-1.0		stop_hit	False	0
gap_floor_6_7	AVGO	2026-06-02	6.27	6.27	6.27	False		390	459.97	29431204.0	settled		True	488.82	472.18	505.46	-1.0		stop_hit	False	0	no_entry	never_crossed_orb_high	False		472.18					False	0
gap_floor_5_6	AXTI	2026-06-02	5.78	5.78	5.78	False		390	109.55	11323372.0	settled		True	118.49	106.21	130.76999999999998	-1.0		stop_hit	False	0	settled		True	118.59	106.21	131.07000000000002	-1.0		stop_hit	False	0
gap_floor_5_6	BABA	2026-06-02	5.46	5.46	5.46	False		390	125.4	8992697.0	no_entry	never_crossed_orb_high	False		131.16000000000003					False	0	no_entry	never_crossed_orb_high	False		131.16000000000003					False	0
unclassified_security_type	BABYF	2026-06-02	12.49			True	no_daily	0	0.181	16038.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
MIN_PREV_DAY_VOLUME	BIAF	2026-06-02	10.86	10.86	10.86	False		180	26.25	8390.0	settled		True	1.98	1.8900000000000001	2.07	0.3333333333333333		stop_hit	True	0	settled		True	2.0	1.8900000000000001	2.13	-1.0000000000000022		stop_hit	False	0
MIN_PREV_CLOSE	BJDX	2026-06-02	182.03	182.03	182.03	False		390	2.17	73322.0	no_trade	setup:stop_too_wide: 0.37 > 1.5x ATR 0.15	False							False	0	no_trade	setup:stop_too_wide: 0.37 > 1.5x ATR 0.15	False							False	0
gap_floor_6_7	CHRN	2026-06-02	6.31	6.31	6.31	False		250	16.97	260397.0	settled		True	18.04	17.54	18.54	-1.0		stop_hit	False	0	settled		True	18.04	17.54	18.54	0.3333333333333333		stop_hit	True	0
gap_floor_5_6	CNH	2026-06-02	5.58	5.58	5.58	False		390	9.85	16616123.0	settled		True	10.54	10.220000000000002	10.859999999999996	0.33541666666666925		stop_hit	True	0	settled		True	10.59	10.220000000000002	11.009999999999998	0.37837837837837934		stop_hit	True	0
gap_floor_5_6	COHR	2026-06-02	5.22	5.22	5.22	False		390	362.9	5971672.0	settled		True	387.0	368.15999999999997	405.84000000000003	0.3333333333333333		stop_hit	True	0	no_entry	triggered_above_limit_never_filled	False		368.15999999999997					False	0
MIN_PREV_CLOSE	CTNT	2026-06-02	40.66	40.66	40.66	False		382	1.82	1127859.0	no_entry	never_crossed_orb_high	False		2.2600000000000002					False	0	no_entry	never_crossed_orb_high	False		2.2600000000000002					False	0
silent_no_row	DBGI	2026-06-02	16.74	16.72	16.74	False		390	33.556	1676410.0	settled		True	0.9925	0.9081	1.0769000000000002	0.3333333333333338		stop_hit	True	0	no_entry	triggered_above_limit_never_filled	False		0.9081					False	0
MIN_PREV_CLOSE	DXST	2026-06-02	85.63	85.62	85.62	False		382	1.6	970195.0	no_trade	setup:stop_too_wide: 0.17 > 1.5x ATR 0.11	False							False	0	no_trade	setup:stop_too_wide: 0.17 > 1.5x ATR 0.11	False							False	0
gap_floor_5_6	ELA	2026-06-02	5.38	5.38	5.38	False		106	23.99	130173.0	abstain	entry_window_gaps:18_of_29	False		23.92					False	0	abstain	entry_window_gaps:15_of_24	False		23.92					False	0
gap_floor_6_7	ELMT	2026-06-02	6.44	6.44	6.44	False		372	18.95	4952485.0	settled		True	20.2	19.06	21.34	0.33333333333333337		stop_hit	True	0	settled		True	20.2	19.06	21.34	0.33333333333333337		stop_hit	True	0
MIN_PREV_CLOSE	FLYE	2026-06-02	10.52	10.52	10.52	False		9	1.9	14033.0	no_trade	setup:zero_range	False							False	0	no_trade	setup:zero_range	False							False	0
unclassified_security_type	FOXO	2026-06-02	900.0	0.0	0.0	True	split_gap 0.0 vs capture 900.0	0	0.03	2178.0	excluded_artifact	split_gap 0.0 vs capture 900.0										excluded_artifact	split_gap 0.0 vs capture 900.0									
MIN_PREV_CLOSE	GENK	2026-06-02	15.28	15.28	15.28	False		41	1.865	20659.0	abstain	entry_window_gaps:19_of_29	False		2.0					False	0	abstain	entry_window_gaps:17_of_24	False		2.0					False	0
gap_floor_5_6	GLW	2026-06-02	5.55	5.55	5.55	False		390	176.7	10778979.0	settled		True	187.0	185.0	189.0	0.9150000000000016		stop_hit	True	0	no_entry	triggered_above_limit_never_filled	False		185.0					False	0
gap_floor_5_6	GMEX	2026-06-02	5.22	5.22	5.22	False		380	10.35	354045.0	settled		True	1.24	1.18	1.3	0.33333333333333337		stop_hit	True	0	settled		True	1.24	1.18	1.3	0.33333333333333337		stop_hit	True	0
MIN_PREV_CLOSE	GPUS	2026-06-02	13.12	13.12	13.12	False		390	0.884	7030329.0	settled		True	0.2018	0.1954	0.20820000000000002	0.33333333333333337		stop_hit	True	0	settled		True	0.2018	0.1954	0.20820000000000002	0.33333333333333337		stop_hit	True	0
MIN_PREV_CLOSE	GXAI	2026-06-02	68.91	68.91	68.91	False		390	1.19	188506.0	settled		True	2.06	1.94	2.18	-1.0		stop_hit	False	0	no_entry	never_crossed_orb_high	False		1.94					False	0
gap_floor_5_6	HIMX	2026-06-02	5.04	5.04	5.04	False		390	21.91	8065706.0	settled		True	23.18	22.020000000000003	24.339999999999996	0.3333333333333333		stop_hit	True	0	no_entry	triggered_above_limit_never_filled	False		22.020000000000003					False	0
gap_floor_8_9	JL	2026-06-02	8.39	8.39	8.39	False		111	6.2	122080.0	abstain	no_930_bar_for_orb	False							False	0	abstain	no_930_bar_for_orb	False							False	0
MIN_PREV_CLOSE	JSPR	2026-06-02	11.19	11.19	11.19	False		343	0.5342	2427944.0	settled		True	0.6	0.5180000000000001	0.6819999999999998	-1.0		stop_hit	False	0	settled		True	0.6	0.5180000000000001	0.6819999999999998	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	LASE	2026-06-02	29.92	29.92	29.92	False		390	0.9275	878028.0	no_trade	setup:stop_too_wide: 0.10 > 1.5x ATR 0.07	False							False	0	no_trade	setup:stop_too_wide: 0.10 > 1.5x ATR 0.07	False							False	0
unclassified_security_type	LGSXY	2026-06-02	10.15			True	no_daily	0	0.8234	4014.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
gap_floor_7_8	LI	2026-06-02	7.36	7.36	7.36	False		390	14.54	7883460.0	no_entry	never_crossed_orb_high	False		15.423999999999998					False	0	no_entry	never_crossed_orb_high	False		15.423999999999998					False	0
gap_floor_9to10_admitted_now	LII	2026-06-02	9.0	9.0	9.0	False		322	496.77	262660.0	no_entry	never_crossed_orb_high	False		511.8299999999999					False	0	no_entry	never_crossed_orb_high	False		511.8299999999999					False	0
MIN_PREV_CLOSE	LILKV	2026-06-02	128.57	128.57	128.57	False		111	3.5	200.0	abstain	no_930_bar_for_orb	False							False	0	abstain	no_930_bar_for_orb	False							False	0
MIN_PREV_CLOSE	LOBO	2026-06-02	42.86	42.86	42.86	False		390	0.84	371407.0	settled		True	1.23	1.13	1.33	-1.0		stop_hit	False	0	settled		True	1.23	1.13	1.33	-1.0		stop_hit	False	0
gap_floor_8_9	MCHPP	2026-06-02	8.16	8.16	8.16	False		138	77.44	1150632.0	no_trade	setup:zero_range	False							False	0	no_trade	setup:zero_range	False							False	0
gap_floor_7_8	MX	2026-06-02	7.15	7.15	7.15	False		389	7.83	7946384.0	settled		True	8.5	8.239999999999998	8.760000000000002	-1.0		stop_hit	False	0	settled		True	8.5	8.239999999999998	8.760000000000002	0.33333333333333337		stop_hit	True	0
gap_floor_6_7	MXL	2026-06-02	6.36	6.36	6.36	False		390	86.23	5058952.0	settled		True	92.51	88.89	96.13000000000001	-1.0		stop_hit	False	0	settled		True	92.51	88.89	96.13000000000001	-1.0		stop_hit	False	0
unclassified_security_type	NIMU	2026-06-02	9.09			True	no_daily	0	8.25	23.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
gap_floor_6_7	NVTS	2026-06-02	6.68	6.68	6.68	False		390	24.86	24801463.0	settled		True	26.71	25.53	27.89	-1.0		stop_hit	False	0	settled		True	26.71	25.53	27.89	0.9926553672316374		stop_hit	True	0
silent_no_row	PMI	2026-06-02	130.58	130.64	130.58	False		390	8.42	470572.0	settled		True	0.39	0.30999999999999994	0.4700000000000001	-1.0		stop_hit	False	0	settled		True	0.39	0.30999999999999994	0.4700000000000001	-1.0		stop_hit	False	0
gap_floor_5_6	QTTB	2026-06-02	5.23	5.23	5.23	False		344	11.66	1069199.0	settled		True	12.58	11.6	13.56	-1.0		stop_hit	False	0	settled		True	12.58	11.6	13.56	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	QUCY	2026-06-02	22.42	22.42	22.42	False		389	2.23	3503896.0	settled		True	2.8	2.6500000000000004	2.9499999999999993	0.3333333333333333		stop_hit	True	0	settled		True	2.805	2.6500000000000004	2.9650000000000003	0.34408602150537715		stop_hit	True	0
MIN_PREV_DAY_VOLUME	RCON	2026-06-02	9.79	9.79	9.79	False		23	127.3	225.0	abstain	entry_window_gaps:26_of_29	False		0.5768000000000001					False	0	abstain	entry_window_gaps:21_of_24	False		0.5768000000000001					False	0
MIN_PREV_CLOSE	RKTO	2026-06-02	10.82	10.82	10.82	False		390	1.34	7309044.0	settled		True	1.5	1.4	1.6	-1.0		stop_hit	False	0	settled		True	1.5	1.4	1.6	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	SBFM	2026-06-02	20.92	20.92	20.92	False		362	2.39	447431.0	no_entry	never_crossed_orb_high	False		2.8604000000000003					False	0	no_entry	never_crossed_orb_high	False		2.8604000000000003					False	0
gap_floor_5_6	SIG	2026-06-02	5.87	5.87	5.87	False		355	84.82	1617838.0	no_entry	never_crossed_orb_high	False		84.8					False	0	no_entry	never_crossed_orb_high	False		84.8					False	0
gap_floor_6_7	SMTC	2026-06-02	6.7	6.7	6.7	False		388	149.58	3949234.0	settled		True	160.85	155.04999999999998	166.65	-0.22413793103448107		stop_hit	True	0	settled		True	160.85	155.04999999999998	166.65	-0.22413793103448107		stop_hit	True	0
MIN_PREV_CLOSE	SOAR	2026-06-02	41.41	41.41	41.41	False		390	0.2475	604674309.0	no_entry	never_crossed_orb_high	False		0.33240000000000003					False	0	no_entry	never_crossed_orb_high	False		0.33240000000000003					False	0
gap_floor_5_6	SPAI	2026-06-02	5.79	5.79	5.79	False		229	6.22	400509.0	settled		True	6.67	6.41	6.93	-1.0		stop_hit	False	0	abstain	entry_window_gaps:1_of_24	False		6.41					False	0
MIN_PREV_CLOSE	STAK	2026-06-02	23.08	23.08	23.08	False		390	0.975	140474.0	settled		True	1.21	1.0899999999999999	1.33	23.48055555555554		stop_hit	True	0	settled		True	1.23	1.0899999999999999	1.3900000000000001	20.126190476190455		stop_hit	True	0
gap_floor_5_6	UMAC	2026-06-02	5.89	5.89	5.89	False		390	28.88	10948127.0	settled		True	31.3	29.06	33.540000000000006	0.26785714285714274		stop_hit	True	0	settled		True	31.3	29.06	33.540000000000006	0.26785714285714274		stop_hit	True	0
MIN_PREV_CLOSE	VSA	2026-06-02	79.44	79.44	79.44	False		359	4.28	215082.0	no_entry	never_crossed_orb_high	False		6.7299999999999995					False	0	no_entry	never_crossed_orb_high	False		6.7299999999999995					False	0
unclassified_security_type	WCUFF	2026-06-02	13.21			True	no_daily	0	0.159	23718.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
unclassified_security_type	WRDLY	2026-06-02	26.67			True	no_daily	0	6.0	2115.0	excluded_artifact	no_daily										excluded_artifact	no_daily									
gap_floor_5_6	XPEV	2026-06-02	5.06	5.06	5.06	False		390	17.2	9420150.0	no_entry	never_crossed_orb_high	False		17.72					False	0	no_entry	never_crossed_orb_high	False		17.72					False	0
MIN_PREV_DAY_VOLUME	YHC	2026-06-02	30.31	30.31	30.31	False		368	89.02	1320.0	no_trade	setup:stop_too_wide: 0.18 > 1.5x ATR 0.10	False							False	0	no_trade	setup:stop_too_wide: 0.18 > 1.5x ATR 0.10	False							False	0
gap_floor_7_8	YSWY	2026-06-02	7.69	7.69	7.69	False		221	22.24	513219.0	settled		True	24.385	22.605	26.165000000000003	-1.0		stop_hit	False	0	settled		True	24.51	22.605	26.540000000000003	-1.0		stop_hit	False	0
MIN_PREV_CLOSE	ZJYL	2026-06-02	18.24	18.24	18.24	False		386	2.44	7096.0	settled		True	2.94	2.6401999999999997	3.2398000000000002	0.33333333333333337		stop_hit	True	0	settled		True	2.96	2.6401999999999997	3.2998000000000003	0.35417969564311025		stop_hit	True	0
MIN_PREV_DAY_VOLUME	AIOS	2026-06-03	9.76	9.76	9.76	False		7	14.44	31812.0	abstain	no_930_bar_for_orb	False							False	0	abstain	no_930_bar_for_orb	False							False	0
